sentence,label
达里奥：资本市场已不再“自由”贫富差距达1930年代以来最严重,-1
新闻自由日：联合国秘书长强调记者为新冠大流行错误信息提供,-1
一组老照片：自由女神像是如何诞生的,1
SFT在“互联网自由日”抗议苹果公司同中共合作审查网络,-1
世界新闻自由日:来自联合国人权事务高级专员的视频信息,0
香港居民权利自由的坚实保障,1
如果中国有新闻自由,0
捍卫自由律师团：外劳仅说出不公待遇“移民局终止工作证滥权”,1
海关总署：正会同有关部门研究海南自由贸易港零关税政策相关,1
米兰双雄均有意尼斯后卫萨尔球员将成自由身,0
“警察是垃圾”是不是言论自由德内政部长拟告专栏作家,-1
香港失落保持25年全球最自由经济体地位政治及社会动荡抑制,-1
自由谈\妻子如衣服\李忆莙,0
是神让伤痛与苦难存在，还是我们的自由意志,-1
欢呼“自由”为时尚早约翰逊政府打消英国人对大幅解禁的预期,-1
时间自由，收入可观，这样的工作你羡慕吗,1
“自由之家”呼吁各国政府惩罚中共官员，并加强对广播电视的,-1
国际社会高度关注中国启动自由贸易港建设海南自贸港是“振奋人心的一步”,1
美国疫情“自由落体”，白宫却渲染“岁月静好”,-1
美国政府政策立场社论:中国攻击宗教自由,-1
屡批中共自由派学者许章润被拘跨省侦办闯宅带走警称今告知拘押理由或初以涉“嫖娼”搪塞家属,-1
香港国安法是否会限制香港居民权利和自由?全国人大常委会法工委回应,0
年薪567亿明年恢复自由身苹果CEO库克去留成焦点,0
复旦大学修章程删独立抗议学生争自由唱校歌,1
郑永年：西方自由主义经历着怎样的衰败,-1
自由之家年度报告批评中共过去一年加剧压制公民自由,-1
美政府医疗总监呼吁民众戴口罩：能“促进自由”,1
视频央行行长易纲：上海可以在人民币自由兑换等方面先行先试,1
湖人喜讯！曝签十天短约球员再度成为自由球员，诺阿已不属于,0
美宗教大使：中国应尊重西藏佛教徒的自由信仰宗教权利,1
青山湾绝食「不自由毋宁死」邵家臻速向联合国投诉,-1
囚友叹铁窗难挨吁珍惜自由,-1
学术自由胜过一切，又一美国大学宣布关闭孔子学院,1
自由开放态度对待各族差异领略国家原则和谐共处,1
海南自由贸易港企业所得税及个税优惠政策落地,1
韩国统一部：言论自由非无限反朝传单“威胁民众安全”,-1
"欧盟""全球监控""地图聚焦疫情期间各国人权自由",0
切勿任由中国政府侵害学术自由,1
官方！前切尔西前锋自由转会加盟贝内文托签约3年,0
负面清单“做减法”为全球投资自由化树标本,1
辅佐C罗曼朱基奇解约成自由身尤文可考虑免签,0
迪米经纪人：他恢复良好大家太自由没严格防疫,0
自贸港建设时间紧、任务重，海南自由贸易港法制定加速,1
携程：国内跨省游开放国内跟团游、自由行瞬时搜索量增长500%,1
林郑否认扩警权拒保证新闻自由,-1
自由之家:中国加强控制媒体影响全球,-1
“言论自由”惹风波，特朗普社交账号被封！,-1
缅甸：人权专家谴责政府在疫情期间继续钳制言论自由,-1
LFL：维护国民基本自由立即停查“虚拟国会”,1
调整离岛免税政策，支持海南自由贸易港建设《关于海南离岛旅客免税购物政策的公告》的政策解读,1
民众在UCLA悼念李文亮，望“抱薪者点亮自由言论”,1
国际学者给习近平写公开信促把言论自由还给中国人民,1
约旦放松封锁后自由区进出口增长40%,1
大马自由人自找场地封闭集训盼能为国征战汤杯,0
暑期咋玩“国内自由行”成热门,1
内蒙古：中、高风险地区人员或可自由有序流动,1
强力开锁、限制他人人身自由，李国庆等4人被行政拘留,-1
大马逐渐放宽隔离政策自由人集训不必住集体宿舍,1
柬埔寨：新冠病毒钳制言论自由,-1
肖怀德：全然的自由、幸福，只有精神世界才能体验和抵达,1
国庆日蓬佩奥发声明庆祝美国的自由和独立,1
德语媒体：比起新冠北京更惧怕香港自由,-1
自由贸易至少三四年前已经受到挑战经济民族主义将影响全球贸易,-1
国内跨省游开放，携程国内跟团游、自由行瞬时搜索量激增500,1
广汽菲克Jeep自由侠深圳优惠06万现车充足,1
港国安法生效后港人自由仍存在,1
买房千万别冲动!这帮人拿财富自由当幌子把你从猪肉扒成猪骨,-1
国防高官：美国将继续捍卫海洋自由,1
自由软件基金会向微软邮寄空硬盘希望其贡献Windows7源码,1
中共海南省委关于贯彻落实《海南自由贸易港建设总体方案》的决定,1
印北达兰萨拉游行纪念西藏自由抗暴六十一周年,1
“杀死”香港，中共让西方面临“自由和压迫”的对决,-1
大马自由人希望可以入选汤杯阵容回报赞助商,1
曝天海边后卫糜昊伦自由身加盟深足合同期为4年,0
今夏火爆驾房车旅行自由自在美景看个够还能保持社交距离,1
人权专家强调疫情期间必须促进和保障信息自由流通,1
格伦约翰逊：切尔西要是让威廉自由转会将是巨大的错误,0
陈新光：国安法真正保护香港居民的自由与人权,1
西藏团体声援香港：中共无法镇压人民对民主与自由的渴望,1
人民网评：香港居民的法定权利和自由不会受损,1
林毅夫：新自由主义的盛行完全是基于误解,-1
参考快评“灯塔国”政府真的珍视言论自由么,-1
墙外文摘：若悲伤不自由，则悼念无意义,-1
被剥夺自由儿童全球研究报告：剥夺自由就是剥夺童年,-1
吁欧盟对华强硬黄之锋：尚有自由的最后证词,1
河北存取超10万需登记存取还自由吗如何影响你我,0
切尔西王牌拒绝续约合同！今夏自由身加盟巴萨,0
川普总统山讲话庆祝美国自由捍卫遗产,1
井柏然封面写真袭清新度假风自由洒脱,1
《人民日报海外版》报道国际社会高度关注中国启动自由贸易港建设,1
脸书中国梦碎言论自由的代价?,-1
复旦大学修改章程删除“思想自由”，引发学生抗议,-1
台湾外交部：将携手国际推进香港及全球民主自由,1
国际宗教自由联盟举办线上会议讨论西藏宗教自由,1
要自由不要命！美国一州出现美丽风景线，民众上街抗议包围,-1
印度出口活动可能遭受《越南与欧盟自由贸易协定》的影响,-1
促进中国广西自由贸易试验区跨境贸易便利化若干政策措施发布,1
经纪人与自由球员跑卫德文塔弗里曼结束合作关系,0
香港成为中美网络自由斗争新前线,1
曼联官方宣布妖星离队续约谈判失败已成自由人,0
人员自由流动对瑞士就业市场大有裨益,1
洛杉矶民运评奥斯卡中国自由人权奖，“变态辣椒”等获奖,1
年轻人也能有咖啡自由349元的米家胶囊咖啡机来帮你,1
疫情下照办狗肉节玉林人：禁吃侵犯自由,1
“学术自由”国际排行中国学者最不自由,-1
李笑来：如何实现个人财富自由,1
北京大学与柏林自由大学举行区域与国别研究合作协议在线签约,1
与自由人竞争汤杯资格世飞诺伊强化自己,0
以法治推进海南自由贸易港建设,1
经纪人透露拒绝复赛原因!自由球员的风险评估,0
6月21本应是刘晓波重获自由之日德国牧师用朗诵会纪念他,1
从自由职业者到CTO，一个技术人的转型之路,1
《海南自由贸易港博鳌乐城国际医疗旅游先行区条例》施行,1
印度学者：世界各地的佛教徒应该为西藏自由发声,1
